root,translit,top_gloss,occurrences,n_ayahs,mean_pairwise,localization,hull_area,density,dist_from_global,n_clusters,spread_frac,dom_kmeans,dom_k_frac
ظلل,z-l-l,Remained,33,31,4.661,0.776,51.14,0.606,1.092,4,0.71,4,0.258
وري,w-r-a,,32,31,6.426,1.07,49.16,0.631,1.265,2,0.484,4,0.419
عفو,3-f-w,Forgave,35,31,3.958,0.659,39.59,0.783,3.75,3,0.387,4,0.613
قسم,q-s-m,Divided,33,31,7.817,1.302,46.63,0.665,1.239,3,0.516,4,0.226
خفي,kh-f-a,Concealed,34,31,4.312,0.718,52.07,0.595,2.887,2,0.548,4,0.452
جنب,j-n-b,,33,31,3.591,0.598,18.65,1.663,3.327,1,0.065,4,0.484
عمي,3-m-a,Blind,33,30,6.872,1.145,37.8,0.794,0.592,3,0.433,0,0.333
شرر,sh-r-r,evil,31,30,3.865,0.644,18.08,1.659,1.272,4,0.633,4,0.267
برر,b-r-r,Pious,32,30,4.655,0.775,40.12,0.748,2.37,2,0.567,4,0.467
خلص,kh-l-s,Refuge,31,30,3.722,0.62,21.62,1.388,1.96,4,0.667,4,0.3
مدد,m-d-d,Extent,32,29,3.558,0.593,23.32,1.244,1.508,2,0.276,6,0.276
كيد,k-y-d,To drive mad,35,29,8.885,1.48,57.05,0.508,1.615,3,0.483,4,0.276
وثق,w-th-q,Covenant,34,29,3.729,0.621,29.86,0.971,3.961,3,0.276,4,0.724
بدو,b-d-w,Appeared,31,29,2.879,0.48,16.39,1.769,4.411,3,0.379,4,0.621
حيث,h-y-th,where,31,29,2.87,0.478,17.56,1.651,4.246,2,0.414,4,0.621
رفع,r-f-3,elevation,29,29,6.398,1.066,54.47,0.532,1.191,3,0.552,4,0.448
نصب,n-s-b,Share,32,29,5.529,0.921,43.54,0.666,2.21,2,0.483,4,0.448
وسع,w-s-3,Widened,32,29,2.838,0.473,19.11,1.518,4.589,2,0.31,4,0.69
صير,s-y-r,I prepared it for him,29,29,3.004,0.5,17.75,1.634,3.888,3,0.517,4,0.448
صرف,s-r-f,Accidents,30,29,3.462,0.577,18.6,1.559,2.987,4,0.552,4,0.345
افك,a-f-k,he denied,30,29,8.237,1.372,48.78,0.594,0.808,3,0.552,4,0.276
يقن,y-q-n,Certainty,28,28,5.57,0.928,53.8,0.52,0.454,2,0.357,0,0.214
سعي,s-3-a,Strived,30,28,3.744,0.624,14.12,1.984,2.05,3,0.571,4,0.321
خلو,kh-l-w,Except,28,28,4.709,0.784,50.55,0.554,2.414,2,0.571,4,0.429
دري,d-r-a,To understand,29,28,9.288,1.547,44.02,0.636,3.72,3,0.5,5,0.286
ثلث,th-l-th,to be cunning,32,28,6.462,1.076,43.33,0.646,3.016,2,0.286,4,0.714
برا,b-r-a,Innocent,31,28,3.077,0.513,18.12,1.545,3.504,2,0.429,4,0.393
غلب,gh-l-b,Dominance,31,28,6.802,1.133,44.01,0.636,0.774,4,0.643,4,0.357
ابد,a-b-d,,28,28,2.793,0.465,12.37,2.263,3.721,2,0.321,4,0.607
ودد,w-d-d,,29,28,3.915,0.652,29.25,0.957,3.76,2,0.393,4,0.607
عسي,3-s-a,to hope,30,28,3.057,0.509,15.96,1.754,3.767,3,0.536,4,0.464
حوط,h-w-T,Encompassing,28,27,6.841,1.14,60.84,0.444,1.194,4,0.593,4,0.444
لبث,l-b-th,Stay,31,27,7.702,1.283,42.59,0.634,0.829,3,0.481,4,0.296
رجو,r-j-w,,28,27,5.52,0.919,47.53,0.568,1.653,2,0.481,4,0.37
فوز,f-w-z,Victory,29,27,2.242,0.373,9.66,2.795,3.277,1,0.148,6,0.444
جند,j-n-d,,29,27,5.871,0.978,56.89,0.475,0.944,2,0.481,4,0.333
جدل,j-d-l,,29,27,3.131,0.521,14.8,1.825,3.27,2,0.481,4,0.444
هجر,h-j-r,Delirious,31,27,5.284,0.88,49.96,0.54,2.694,2,0.407,4,0.556
غشو,gh-sh-w,Swoon,29,26,7.411,1.235,49.93,0.521,1.018,3,0.538,4,0.462
طهر,T-h-r,Pure,31,26,3.872,0.645,22.95,1.133,3.513,3,0.423,4,0.577
ثقل,th-q-l,Drought,28,26,6.027,1.004,52.34,0.497,1.411,3,0.615,4,0.385
شجر,sh-j-r,Tree,27,26,5.177,0.862,48.7,0.534,1.649,3,0.654,4,0.346
شفع,sh-f-3,He interceded,31,26,4.32,0.72,46.31,0.561,2.111,2,0.5,4,0.385
جحم,j-h-m,,26,26,6.18,1.029,48.53,0.536,1.712,4,0.462,7,0.5
عشر,3-sh-r,Tenth,27,26,6.859,1.142,54.38,0.478,2.266,3,0.423,4,0.577
حجج,h-j-j,Pilgrim,33,26,2.836,0.472,12.98,2.004,4.215,2,0.385,4,0.654
هون,h-w-n,Easy,26,26,2.629,0.438,17.68,1.47,2.769,3,0.462,4,0.308
قمر,q-m-r,Dazzled,27,26,5.924,0.987,36.74,0.708,1.275,3,0.692,6,0.346
قعد,q-3-d,Sat,31,26,4.768,0.794,39.32,0.661,2.545,2,0.5,4,0.462
انث,a-n-th,Female,30,26,5.149,0.858,44.3,0.587,2.616,3,0.615,4,0.462
حول,h-w-l,Year,25,25,6.033,1.005,43.33,0.577,2.065,3,0.48,4,0.52
سير,s-y-r,Walked,27,25,7.404,1.233,62.46,0.4,1.326,3,0.6,4,0.44
منن,m-n-n,Who,27,25,6.051,1.008,52.57,0.476,1.902,3,0.52,4,0.44
شقق,sh-q-q,Split,28,25,3.674,0.612,20.94,1.194,2.302,3,0.64,6,0.36
حضر,h-d-r,Presence,25,25,5.056,0.842,40.89,0.611,2.046,3,0.56,4,0.36
صلي,s-l-a,Filled,25,25,8.665,1.443,50.21,0.498,3.045,4,0.68,5,0.24
فلك,f-l-k,Breast,25,25,7.026,1.17,56.59,0.442,1.029,4,0.68,4,0.4
بطن,b-T-n,Became large,25,25,8.096,1.349,54.08,0.462,0.469,3,0.52,4,0.44
قصص,q-s-s,Cutting,30,25,3.322,0.553,13.98,1.789,3.113,2,0.48,4,0.44
عجز,3-j-z,Incapacitating,26,25,2.936,0.489,18.04,1.385,1.742,2,0.2,0,0.32
نشا,n-sh-a,established,28,25,7.232,1.205,53.09,0.471,0.324,4,0.68,4,0.24
سقي,s-q-a,to cause to drink,25,24,6.389,1.064,44.25,0.542,1.116,3,0.625,4,0.375
كود,k-w-d,,24,24,3.357,0.559,19.18,1.251,2.978,2,0.417,4,0.417
سبع,s-b-3,seven,28,24,5.135,0.855,52.68,0.456,2.828,3,0.5,4,0.5
بوب,b-w-b,Door,27,24,3.291,0.548,14.01,1.713,3.605,2,0.292,4,0.583
عدل,3-d-l,Just.,28,24,3.064,0.51,14.95,1.605,4.633,1,0.292,4,0.667
ثني,th-n-a,Pine-tree,29,24,4.194,0.699,45.47,0.528,4.263,1,0.25,4,0.75
وعظ,w-3-z,,25,24,3.261,0.543,15.91,1.509,4.3,3,0.333,4,0.625
جهل,j-h-l,,24,24,4.527,0.754,41.34,0.581,3.225,2,0.417,4,0.542
خزي,kh-z-a,Disgraced,26,24,4.149,0.691,57.36,0.418,3.055,2,0.5,4,0.458
مسك,m-s-k,Retained,27,24,5.945,0.99,42.27,0.568,2.331,2,0.542,4,0.458
وضع,w-d-3,Position,26,24,5.77,0.961,47.17,0.509,3.366,1,0.25,4,0.75
لسن,l-s-n,Tongue,25,24,7.323,1.22,52.38,0.458,0.501,4,0.708,4,0.292
عجب,3-j-b,Wonder,27,24,5.948,0.991,52.1,0.461,2.011,4,0.583,4,0.417
طير,T-y-r,Bird,29,24,5.246,0.874,44.81,0.536,1.724,3,0.625,4,0.333
ذلل,dh-l-l,Humiliation,24,23,3.164,0.527,14.42,1.595,3.526,2,0.478,4,0.435
ثوب,th-w-b,Scorpion,28,23,3.032,0.505,15.06,1.527,3.491,2,0.478,4,0.435
مرض,m-r-d,Sick,24,23,4.2,0.7,36.59,0.629,4.097,2,0.348,4,0.652
شري,sh-r-a,Bought,25,23,2.419,0.403,6.83,3.367,4.266,2,0.435,4,0.565
نبت,n-b-t,Plant,26,23,5.611,0.935,51.37,0.448,2.281,2,0.522,4,0.478
غرق,gh-r-q,Coming,23,23,4.959,0.826,47.66,0.483,1.32,4,0.739,1,0.304
فحش,f-h-sh,Excessive,24,23,4.461,0.743,29.78,0.772,3.449,2,0.435,4,0.522
سرع,s-r-3,Quick,23,23,4.545,0.757,46.41,0.496,2.845,3,0.435,4,0.522
بسط,b-s-T,Simplified,25,23,2.923,0.487,12.25,1.877,3.688,2,0.478,6,0.522
مكر,m-k-r,Artifice,43,23,5.992,0.998,34.77,0.661,1.362,2,0.609,4,0.391
وقع,w-q-3,Occurrence,24,22,9.242,1.539,60.43,0.364,1.947,4,0.682,4,0.318
ثمر,th-m-r,Fragment,24,22,4.621,0.77,40.64,0.541,3.718,1,0.318,4,0.727
ترب,t-r-b,Dust,22,22,7.203,1.2,48.77,0.451,0.831,4,0.682,1,0.273
يتم,y-t-m,,23,22,6.448,1.074,51.94,0.424,2.434,2,0.409,4,0.591
اذي,a-dh-a,Harmed,24,22,2.546,0.424,11.93,1.844,4.67,2,0.364,4,0.636
قسط,q-s-T,Deviate,25,22,4.6,0.766,48.93,0.45,3.672,2,0.318,4,0.682
وهب,w-h-b,giving,25,22,4.896,0.816,52.69,0.418,0.93,3,0.5,1,0.318
عرب,3-r-b,Arabic,22,22,5.006,0.834,35.17,0.626,2.327,2,0.5,4,0.5
طلق,T-l-q,Loose,23,21,7.907,1.317,49.63,0.423,1.686,3,0.429,4,0.571
ربع,r-b-3,Four,22,21,2.981,0.496,14.54,1.444,4.687,2,0.333,4,0.667
اثر,a-th-r,preferred,21,21,5.444,0.907,51.15,0.411,1.553,3,0.619,4,0.381
فجر,f-j-r,Burst,24,21,8.524,1.42,51.88,0.405,1.872,4,0.619,1,0.19
غضب,gh-d-b,Anger,24,21,2.211,0.368,7.8,2.692,4.377,2,0.429,4,0.476
هود,h-w-d,Moved,21,21,2.966,0.494,8.62,2.436,3.334,2,0.524,4,0.476
غرر,gh-r-r,Prostration,27,21,2.765,0.461,12.69,1.654,4.043,2,0.429,4,0.571
وزن,w-z-n,Balance,23,21,8.892,1.481,50.39,0.417,1.676,4,0.762,0,0.238
بقي,b-q-a,remained,21,21,7.242,1.206,52.48,0.4,0.506,4,0.524,6,0.333
وصي,w-s-a,Executor,32,21,6.114,1.018,44.0,0.477,3.047,2,0.333,4,0.619
فرح,f-r-h,Rejoiced,22,21,3.183,0.53,17.01,1.234,3.093,2,0.429,4,0.429
سرف,s-r-f,Extravagant,23,21,5.232,0.872,51.79,0.405,2.563,3,0.524,4,0.476
نشر,n-sh-r,Published,21,20,3.604,0.6,24.26,0.824,1.262,4,0.7,6,0.3
مشي,m-sh-a,Strolled,23,20,3.352,0.558,19.92,1.004,3.093,2,0.45,4,0.4
لبس,l-b-s,to confuse,23,20,3.66,0.61,20.76,0.963,3.199,2,0.4,4,0.5
كتم,k-t-m,Concealed,21,20,2.874,0.479,10.21,1.959,4.035,2,0.45,4,0.6
حمم,h-m-m,Intense heat,21,20,10.54,1.756,48.02,0.416,4.565,4,0.65,5,0.25
نزع,n-z-3,Baldness,20,20,3.918,0.653,19.04,1.051,1.876,2,0.55,4,0.35
خطا,kh-T-a,mistake,22,20,6.361,1.06,47.25,0.423,1.147,3,0.55,4,0.3
نخل,n-kh-l,,20,20,6.477,1.079,39.61,0.505,0.694,4,0.7,4,0.25
سنو,s-n-w,Year,20,20,8.043,1.34,54.79,0.365,0.473,3,0.65,4,0.3
تمم,t-m-m,Complete,22,20,2.435,0.406,10.06,1.989,5.126,1,0.25,4,0.75
رقب,r-q-b,He watched,24,20,3.977,0.662,20.51,0.975,3.751,2,0.35,4,0.65
حدد,h-d-d,Iron,25,20,4.885,0.814,26.09,0.767,3.012,1,0.2,4,0.55
حلم,h-l-m,Forbearing,21,20,6.75,1.124,42.65,0.469,1.927,2,0.5,4,0.5
درج,d-r-j,Degree,20,20,3.127,0.521,15.87,1.26,3.667,4,0.6,4,0.4
فقه,f-q-h,,20,20,6.009,1.001,30.44,0.657,2.519,2,0.3,4,0.65
لعب,l-3-b,Played,20,20,6.325,1.054,35.64,0.561,0.617,3,0.65,0,0.25
كشف,k-sh-f,Disclosed,20,20,3.227,0.538,16.73,1.196,2.638,2,0.4,4,0.35
حذر,h-dh-r,Cautious,21,19,2.665,0.444,10.61,1.792,4.554,2,0.263,4,0.737
فكه,f-k-h,Jovial,19,19,6.985,1.164,27.95,0.68,3.715,2,0.421,7,0.368
ثمن,th-m-n,Yearling,19,19,2.682,0.447,13.08,1.453,4.723,2,0.263,4,0.737
سعر,s-3-r,Blaze,19,19,4.773,0.795,44.99,0.422,1.097,3,0.684,1,0.316
فطر,f-T-r,Cleft,20,19,3.94,0.656,21.11,0.9,3.003,3,0.579,4,0.421
عمر,3-m-r,lived,24,19,4.85,0.808,40.21,0.473,3.355,2,0.316,4,0.684
الف,a-l-f,Thousand,22,19,6.854,1.142,51.3,0.37,0.952,2,0.632,4,0.368
بلد,b-l-d,Dwelt,19,19,7.439,1.239,52.55,0.362,1.232,3,0.789,1,0.263
مري,m-r-a,,20,19,6.676,1.112,52.52,0.362,0.393,2,0.632,4,0.316
رشد,r-sh-d,Guidance,19,19,3.589,0.598,14.26,1.332,2.837,3,0.579,4,0.421
نكح,n-k-h,married,23,19,1.551,0.258,3.35,5.668,6.032,1,0.105,4,0.895
فتي,f-t-a,Youth,21,19,5.537,0.922,37.01,0.513,2.659,2,0.474,4,0.526
صنع,s-n-3,Watī'ah,20,19,4.976,0.829,39.12,0.486,2.556,2,0.526,4,0.474
حجر,h-j-r,Stone,21,18,5.604,0.934,49.09,0.367,1.535,3,0.667,4,0.333
نفخ,n-f-kh,blew,20,18,4.055,0.675,22.28,0.808,1.644,3,0.556,1,0.278
مني,m-n-a,Mina,21,18,3.682,0.613,9.68,1.859,2.627,2,0.556,4,0.333
دبب,d-b-b,creature,18,18,3.0,0.5,15.94,1.129,3.525,2,0.5,4,0.5
فكر,f-k-r,thought,18,18,2.805,0.467,11.91,1.511,4.514,2,0.278,4,0.722
غوي,gh-w-a,To be led astray.,22,18,4.979,0.829,34.05,0.529,0.512,2,0.333,0,0.222
طلع,T-l-3,He produced,19,18,6.064,1.01,46.86,0.384,1.436,2,0.556,4,0.444
نوب,n-w-b,Repentant,18,18,3.56,0.593,20.39,0.883,3.317,2,0.556,4,0.389
صور,s-w-r,Tested man,19,17,3.828,0.638,22.6,0.752,1.19,3,0.588,6,0.294
اوب,a-w-b,Repenter,17,17,3.236,0.539,17.13,0.992,0.732,2,0.647,1,0.294
عوذ,3-w-dh,I seek refuge.,17,17,3.612,0.602,19.92,0.853,1.913,3,0.529,3,0.235
خفف,kh-f-f,Light,17,17,2.831,0.472,17.48,0.973,2.885,3,0.471,0,0.412
منع,m-n-3,Prevented,17,17,5.526,0.92,40.51,0.42,1.044,3,0.647,4,0.353
شرق,sh-r-q,East,17,17,5.819,0.969,50.9,0.334,1.123,3,0.647,4,0.294
غرب,gh-r-b,To embrace,19,17,3.596,0.599,17.81,0.955,3.928,2,0.412,4,0.588
شهر,sh-h-r,Publicly disgrace,21,17,2.208,0.368,10.17,1.672,5.369,1,0.176,4,0.824
راس,r-a-s,Head,18,17,3.489,0.581,13.63,1.247,3.771,1,0.529,4,0.471
خصم,kh-s-m,Opponent,18,17,6.074,1.012,46.54,0.365,0.792,1,0.471,0,0.235
ثبت,th-b-t,Well,18,17,3.005,0.501,13.21,1.287,3.306,2,0.412,4,0.412
لدن,l-d-n,Supple,18,17,2.881,0.48,14.08,1.207,1.454,2,0.412,1,0.412
حزب,h-z-b,Party,20,17,4.981,0.83,31.22,0.545,1.874,3,0.588,0,0.294
مدن,m-d-n,,17,17,10.81,1.801,21.97,0.774,1.776,2,0.353,4,0.647
سور,s-w-r,leap,17,16,2.626,0.437,8.14,1.965,3.123,2,0.438,6,0.438
مكن,m-k-n,,18,16,4.121,0.686,17.26,0.927,2.396,2,0.562,4,0.438
خشع,kh-sh-3,Humble,17,16,6.908,1.151,29.23,0.547,0.773,2,0.562,4,0.438
بوا,b-w-a,letter B,17,16,2.582,0.43,8.27,1.935,4.51,2,0.375,4,0.625
علن,3-l-n,Openness,16,16,2.831,0.472,10.56,1.515,2.669,2,0.5,6,0.375
سطر,s-T-r,,16,16,5.145,0.857,37.12,0.431,0.501,3,0.562,1,0.375
نقم,n-q-m,Vengeance,17,16,3.217,0.536,14.13,1.132,2.216,3,0.625,1,0.5
ملل,m-l-l,He put it,18,16,3.361,0.56,11.32,1.413,3.438,3,0.5,4,0.5
صفو,s-f-w,Clear,17,16,5.207,0.867,39.75,0.403,1.58,2,0.438,6,0.5
لبب,l-b-b,,16,16,4.858,0.809,42.73,0.374,1.973,2,0.5,6,0.562
حبط,h-b-T,To be swollen,16,16,2.649,0.441,8.96,1.786,3.649,3,0.625,6,0.438
غدو,gh-d-w,hollow,16,16,7.181,1.196,63.25,0.253,0.147,2,0.625,6,0.375
عتد,3-t-d,Ready,16,16,2.982,0.497,14.84,1.078,2.119,3,0.5,1,0.562
زعم,z-3-m,He asserted,17,16,3.095,0.516,8.06,1.985,2.381,3,0.562,4,0.312
نفر,n-f-r,Fled,18,16,3.41,0.568,14.02,1.141,2.445,3,0.625,4,0.312
سوق,s-w-q,Clouds,17,16,4.062,0.677,21.37,0.749,2.519,2,0.562,4,0.438
مهد,m-h-d,made smooth,16,15,8.744,1.456,47.46,0.316,2.051,2,0.6,0,0.2
سوم,s-w-m,Attribute,15,15,5.936,0.989,55.88,0.268,2.151,1,0.467,4,0.533
جهر,j-h-r,,16,15,3.141,0.523,16.0,0.937,2.488,2,0.467,6,0.333
لهو,l-h-w,Diversion,16,15,3.32,0.553,13.07,1.148,2.676,2,0.533,4,0.333
ركب,r-k-b,Riders,15,15,5.74,0.956,42.47,0.353,0.595,3,0.733,6,0.333
ربو,r-b-w,Usury,20,15,3.492,0.582,15.67,0.957,3.481,2,0.533,4,0.467
سنن,s-n-n,Bit him,21,15,3.008,0.501,16.31,0.92,2.052,2,0.267,6,0.467
شكك,sh-k-k,Doubt,15,15,4.907,0.817,30.5,0.492,3.381,1,0.267,4,0.733
فاد,f-a-d,Heart,16,15,5.392,0.898,43.25,0.347,0.913,2,0.667,6,0.4
صمم,s-m-m,Whispered,15,14,4.405,0.734,38.38,0.365,0.907,1,0.357,6,0.5
رسو,r-s-w,Anchorage,14,14,6.071,1.011,37.87,0.37,1.094,2,0.643,4,0.357
عشو,3-sh-w,twilight,14,14,5.835,0.972,45.7,0.306,1.134,2,0.714,4,0.286
فرض,f-r-d,Imposed,18,14,3.326,0.554,15.06,0.93,4.549,2,0.357,4,0.643
رجم,r-j-m,Stoned,14,14,3.553,0.592,16.87,0.83,1.422,1,0.5,7,0.286
بدا,b-d-a,Beginning,15,14,3.284,0.547,18.79,0.745,2.52,2,0.5,6,0.5
كفف,k-f-f,Hand,15,14,2.299,0.383,7.25,1.931,4.948,1,0.214,4,0.714
فقر,f-q-r,Poor,14,14,2.812,0.468,11.0,1.273,4.385,1,0.286,4,0.714
ثوي,th-w-a,Wounded him,14,14,2.12,0.353,6.68,2.096,4.049,1,0.071,6,0.5
وزر,w-z-r,,27,14,8.214,1.368,42.01,0.333,0.496,2,0.5,4,0.5
وصف,w-s-f,Attained,14,14,3.422,0.57,15.53,0.901,2.95,2,0.643,4,0.357
نجم,n-j-m,Star,13,13,3.392,0.565,16.73,0.777,1.099,1,0.308,7,0.538
وقت,w-q-t,,13,13,8.609,1.434,43.65,0.298,0.284,2,0.538,4,0.462
شهو,sh-h-w,Desire,13,13,4.774,0.795,28.94,0.449,0.755,1,0.154,0,0.385
كيل,k-y-l,Measure,16,13,8.426,1.404,34.65,0.375,0.674,2,0.615,4,0.385
فدي,f-d-a,ransomed,13,13,4.782,0.797,11.46,1.134,3.73,1,0.231,4,0.769
راف,r-a-f,Pity,13,13,3.027,0.504,9.4,1.383,3.982,2,0.462,4,0.538
خلل,kh-l-l,Gap,13,13,3.357,0.559,12.19,1.067,2.854,2,0.538,4,0.462
صغر,s-gh-r,Small,13,13,6.052,1.008,37.79,0.344,2.483,1,0.385,4,0.615
غلم,gh-l-m,To lust,13,13,2.279,0.38,11.92,1.091,1.054,1,0.154,6,0.385
فوه,f-w-h,Wide-mouthed,13,13,3.102,0.517,14.2,0.915,4.342,1,0.385,4,0.615
غلظ,gh-l-z,Thick,13,13,2.997,0.499,9.45,1.375,3.191,2,0.385,4,0.385
غلل,gh-l-l,Shackle,16,13,4.101,0.683,15.35,0.847,2.969,2,0.462,4,0.538
بغت,b-gh-t,Suddenly,13,13,5.242,0.873,27.01,0.481,1.463,2,0.385,0,0.385
خزن,kh-z-n,,13,13,3.39,0.565,14.59,0.891,2.604,2,0.615,4,0.385
صيح,s-y-h,Sack,13,13,2.731,0.455,8.48,1.533,1.775,3,0.538,0,0.462
بكر,b-k-r,Pulley,12,12,3.547,0.591,16.19,0.741,1.806,2,0.75,0,0.333
ابي,a-b-a,refused,13,12,3.641,0.607,16.35,0.734,2.888,2,0.667,4,0.417
عطو,3-T-w,Gave,14,12,9.151,1.524,46.57,0.258,3.492,2,0.75,3,0.25
خطب,kh-T-b,To propose,12,12,6.944,1.157,46.29,0.259,0.676,2,0.667,4,0.333
صفف,s-f-f,Arranged,14,12,5.936,0.989,42.55,0.282,0.411,1,0.75,6,0.417
رهب,r-h-b,Monasticism,12,12,3.132,0.522,10.06,1.193,4.066,2,0.417,4,0.583
عصو,3-s-w,Disobeyed,12,12,8.79,1.464,38.15,0.315,1.094,2,0.667,4,0.333
سفر,s-f-r,swept,12,12,6.574,1.095,37.14,0.323,2.311,1,0.333,4,0.667
نطف,n-T-f,Sperm,12,12,4.601,0.766,22.09,0.543,1.636,2,0.583,1,0.333
طمع,T-m-3,Enticed,12,12,3.305,0.551,19.07,0.629,2.888,0,1.0,6,0.333
سجن,s-j-n,Prison,12,12,3.843,0.64,11.57,1.037,3.061,2,0.583,4,0.417
حور,h-w-r,Houris,13,12,6.376,1.062,43.23,0.278,0.149,2,0.583,6,0.25
نبذ,n-b-dh,discarded,12,12,9.571,1.594,47.86,0.251,3.15,2,0.667,1,0.25
شقو,sh-q-w,Unhappy,12,12,7.306,1.217,39.84,0.301,2.06,1,0.75,6,0.25
قنت,q-n-t,Devout,13,12,3.404,0.567,11.19,1.072,3.418,2,0.5,4,0.417
طمن,T-m-n,Reassured,13,12,3.604,0.6,14.19,0.845,2.997,1,0.583,4,0.417
عسر,3-s-r,To be difficult,12,12,8.86,1.476,41.13,0.292,1.065,3,0.667,4,0.333
حنف,h-n-f,Inclining,12,12,2.187,0.364,8.41,1.426,2.046,1,0.25,6,0.417
حسر,h-s-r,Removed,12,12,6.318,1.052,48.31,0.248,1.637,1,0.583,4,0.417
لحم,l-h-m,Woof,12,12,2.709,0.451,6.11,1.962,4.934,1,0.167,4,0.833
بيض,b-y-d,Whitened,12,12,6.966,1.16,33.96,0.353,0.7,1,0.667,4,0.417
ربص,r-b-s,Awaited,17,12,3.278,0.546,9.3,1.29,3.871,2,0.5,4,0.5
كنن,k-n-n,,12,12,4.607,0.767,14.53,0.826,2.492,2,0.5,4,0.417
طين,T-y-n,To cover,12,12,4.218,0.703,21.52,0.558,1.747,3,0.667,1,0.333
عصم,3-s-m,Clung,13,12,1.816,0.302,1.8,6.651,5.23,2,0.25,4,0.75
جبي,j-b-a,,12,12,3.49,0.581,10.91,1.099,3.97,2,0.333,4,0.667
حصن,h-s-n,Fortified,18,12,3.232,0.538,11.74,1.022,4.559,1,0.333,4,0.667
حلف,h-l-f,Swore,13,12,3.146,0.524,8.87,1.353,3.256,2,0.583,4,0.417
لوم,l-w-m,Reproach,14,12,8.375,1.395,37.22,0.322,1.23,2,0.75,4,0.25
جحد,j-h-d,,12,12,6.12,1.019,38.01,0.316,2.194,2,0.5,4,0.5
ضيق,d-y-q,narrow,13,12,6.466,1.077,26.96,0.445,1.805,2,0.583,4,0.5
زرع,z-r-3,Sowed,14,12,8.518,1.419,32.94,0.364,0.796,1,0.583,4,0.5
خرر,kh-r-r,Gurgled,12,12,3.029,0.505,11.52,1.041,3.96,2,0.417,4,0.583
سلك,s-l-k,Cleared,12,12,10.467,1.744,38.62,0.311,1.505,2,0.583,4,0.417
وقد,w-q-d,,11,11,3.831,0.638,11.44,0.961,3.386,2,0.636,4,0.455
عذر,3-dh-r,Excuse,12,11,9.32,1.552,33.55,0.328,2.659,2,0.545,0,0.455
قصر,q-s-r,shortened,11,11,3.78,0.63,5.84,1.883,1.505,2,0.364,4,0.273
جمل,j-m-l,,11,11,10.757,1.792,46.4,0.237,2.674,1,0.636,4,0.273
نطق,n-T-q,Speech,12,11,10.656,1.775,45.74,0.241,7.163,2,0.545,1,0.273
حصي,h-s-a,,11,11,3.74,0.623,16.79,0.655,2.355,2,0.364,4,0.273
عنب,3-n-b,Grape,11,11,8.587,1.43,38.35,0.287,0.301,2,0.727,1,0.273
لغو,l-gh-w,Naught,11,11,5.646,0.94,37.66,0.292,0.44,1,0.455,0,0.455
ودي,w-d-a,valley,12,11,3.85,0.641,11.88,0.926,3.723,2,0.364,4,0.636
طور,T-w-r,Phase,11,11,9.001,1.499,37.41,0.294,1.253,1,0.545,4,0.455
حرث,h-r-th,Cultivated,14,11,6.415,1.069,26.85,0.41,2.358,1,0.364,4,0.636
ايد,a-y-d,Supported,11,11,2.96,0.493,11.27,0.976,4.837,1,0.273,4,0.727
شفق,sh-f-q,Fearful,11,11,3.429,0.571,13.25,0.83,2.994,2,0.545,4,0.455
طرق,T-r-q,Way,11,11,2.912,0.485,14.28,0.77,0.651,1,0.273,0,0.273
سحب,s-h-b,Clouds,11,11,3.445,0.574,13.89,0.792,3.485,2,0.545,4,0.455
حرر,h-r-r,Heat,15,11,3.816,0.636,11.39,0.966,4.014,1,0.455,4,0.636
صوم,s-w-m,Confirmed,14,11,1.61,0.268,2.36,4.658,5.73,1,0.091,4,0.909
خون,kh-w-n,Caravanserai,16,11,2.71,0.451,4.77,2.306,2.906,2,0.273,6,0.636
بيع,b-y-3,Sale,15,11,0.753,0.125,0.68,16.219,5.653,1,0.0,4,1.0
حرب,h-r-b,Provoked,11,11,2.856,0.476,4.77,2.305,4.296,2,0.364,4,0.636
طرف,T-r-f,Wink,11,11,3.648,0.608,12.25,0.898,2.625,2,0.636,4,0.364
زبر,z-b-r,to fortify,11,11,3.593,0.598,18.93,0.581,1.531,0,1.0,6,0.364
حرج,h-r-j,Narrow,15,11,2.631,0.438,4.32,2.545,5.298,1,0.273,4,0.727
درك,d-r-k,understood,12,11,3.331,0.555,11.63,0.945,3.007,2,0.455,6,0.455
طبع,T-b-3,Seal,11,11,5.94,0.99,38.84,0.283,2.475,1,0.455,4,0.545
ياس,y-a-s,Despair,13,11,3.77,0.628,15.63,0.704,3.757,1,0.364,4,0.455
شيع,sh-y-3,Shiah,12,11,3.663,0.61,11.14,0.988,2.13,3,0.636,1,0.273
شمل,sh-m-l,North,12,11,4.473,0.745,11.36,0.968,2.557,2,0.636,4,0.455
نصح,n-s-h,Advisor,13,11,3.41,0.568,12.78,0.861,1.974,3,0.727,6,0.364
وكا,w-k-a,,11,11,2.848,0.474,4.97,2.213,0.62,1,0.182,0,0.636
اصل,a-s-l,Rooted,10,10,2.26,0.377,7.99,1.252,1.491,1,0.3,6,0.6
طول,T-w-l,Advantage,10,10,3.835,0.639,10.2,0.981,3.457,1,0.4,4,0.5
سفه,s-f-h,Foolish,11,10,3.618,0.603,14.56,0.687,3.359,1,0.5,4,0.5
صعق,s-3-q,Thunderbolt,11,10,3.399,0.566,12.85,0.778,3.153,2,0.5,0,0.4
