root,translit,top_gloss,occurrences,n_ayahs,loc_raw,loc_whitened,delta
صلح,s-l-h,Hoary,180,170,0.604,0.955,0.351
اله,a-l-h,God,2851,1879,0.5,0.854,0.354
ربب,r-b-b,Repair,980,871,0.586,0.94,0.354
جدل,j-d-l,,29,27,0.521,0.881,0.359
بدا,b-d-a,Beginning,15,14,0.547,0.907,0.36
لبس,l-b-s,to confuse,23,20,0.61,0.971,0.361
فوه,f-w-h,Wide-mouthed,13,13,0.517,0.878,0.361
نقم,n-q-m,Vengeance,17,16,0.536,0.897,0.361
فقر,f-q-r,Poor,14,14,0.468,0.836,0.367
جنح,j-n-h,,34,32,0.544,0.913,0.369
تمم,t-m-m,Complete,22,20,0.406,0.779,0.374
نكح,n-k-h,married,23,19,0.258,0.633,0.375
رجم,r-j-m,Stoned,14,14,0.592,0.968,0.376
خلف,kh-l-f,Succeed,127,116,0.63,1.008,0.378
ربو,r-b-w,Usury,20,15,0.582,0.961,0.379
اجل,a-j-l,Delay,56,48,0.535,0.914,0.38
نجم,n-j-m,Star,13,13,0.565,0.948,0.383
فسق,f-s-q,Transgressor,54,54,0.496,0.882,0.386
نسو,n-s-w,,59,53,0.335,0.728,0.393
حجج,h-j-j,Pilgrim,33,26,0.472,0.866,0.394
لحم,l-h-m,Woof,12,12,0.451,0.847,0.396
هزا,h-z-a,,34,32,0.438,0.834,0.396
صدد,s-d-d,Hundred,42,41,0.43,0.827,0.397
راس,r-a-s,Head,18,17,0.581,0.979,0.398
هون,h-w-n,Easy,26,26,0.438,0.836,0.399
رزق,r-z-q,Sustenance,123,109,0.492,0.894,0.402
ملل,m-l-l,He put it,18,16,0.56,0.966,0.406
حذر,h-dh-r,Cautious,21,19,0.444,0.857,0.413
ضعف,d-3-f,weakened,52,45,0.459,0.872,0.413
غضب,gh-d-b,Anger,24,21,0.368,0.786,0.417
طيب,T-y-b,Goodness,50,46,0.447,0.869,0.422
ظنن,z-n-n,thought,69,57,0.592,1.014,0.423
وسع,w-s-3,Widened,32,29,0.473,0.897,0.425
حيث,h-y-th,where,31,29,0.478,0.903,0.425
كذب,k-dh-b,Decisive,282,257,0.667,1.092,0.425
نوب,n-w-b,Repentant,18,18,0.593,1.019,0.426
كفف,k-f-f,Hand,15,14,0.383,0.81,0.427
غرر,gh-r-r,Prostration,27,21,0.461,0.891,0.431
بوا,b-w-a,letter B,17,16,0.43,0.867,0.437
خزن,kh-z-n,,13,13,0.565,1.01,0.445
حنف,h-n-f,Inclining,12,12,0.364,0.811,0.446
قنت,q-n-t,Devout,13,12,0.567,1.016,0.449
ذنب,dh-n-b,Sting,39,37,0.508,0.96,0.452
خلل,kh-l-l,Gap,13,13,0.559,1.016,0.457
طمع,T-m-3,Enticed,12,12,0.551,1.013,0.463
ريب,r-y-b,Doubt,36,35,0.561,1.041,0.479
سنن,s-n-n,Bit him,21,15,0.501,0.989,0.488
مسس,m-s-s,Touch,61,57,0.579,1.074,0.495
مني,m-n-a,Mina,21,18,0.613,1.111,0.497
برا,b-r-a,Innocent,31,28,0.513,1.015,0.502
فوز,f-w-z,Victory,29,27,0.373,0.876,0.502
جنب,j-n-b,,33,31,0.598,1.112,0.514
شهر,sh-h-r,Publicly disgrace,21,17,0.368,0.914,0.546
درج,d-r-j,Degree,20,20,0.521,1.079,0.558
عصم,3-s-m,Clung,13,12,0.302,0.871,0.568
عجز,3-j-z,Incapacitating,26,25,0.489,1.068,0.579
ربع,r-b-3,Four,22,21,0.496,1.097,0.6
ابد,a-b-d,,28,28,0.465,1.087,0.621
نهر,n-h-r,Day,113,102,0.553,1.176,0.623
ثوي,th-w-a,Wounded him,14,14,0.353,0.994,0.641
عتد,3-t-d,Ready,16,16,0.497,1.156,0.659
