root,translit,top_gloss,occurrences,n_ayahs,loc_raw,loc_whitened,delta
حوط,h-w-T,Encompassing,28,27,1.14,1.026,-0.114
هجر,h-j-r,Delirious,31,27,0.88,0.767,-0.113
بني,b-n-a,built,183,150,1.05,0.938,-0.112
وحي,w-h-a,Quick,78,70,0.877,0.767,-0.11
بعث,b-3-th,Sending,67,64,1.066,0.958,-0.107
فدي,f-d-a,ransomed,13,13,0.797,0.69,-0.107
صغر,s-gh-r,Small,13,13,1.008,0.902,-0.106
فسد,f-s-d,Corruption,50,47,0.991,0.89,-0.101
ملا,m-l-a,filled,40,40,0.985,0.883,-0.101
سفر,s-f-r,swept,12,12,1.095,0.998,-0.097
انث,a-n-th,Female,30,26,0.858,0.76,-0.097
حول,h-w-l,Year,25,25,1.005,0.908,-0.097
نفع,n-f-3,Benefit,50,49,0.96,0.866,-0.095
خصم,kh-s-m,Opponent,18,17,1.012,0.936,-0.076
وري,w-r-a,,32,31,1.07,0.997,-0.073
قرا,q-r-a,disease,88,79,0.945,0.873,-0.071
خطا,kh-T-a,mistake,22,20,1.06,0.989,-0.071
اني,a-n-a,"""how""",36,36,0.881,0.814,-0.068
غشو,gh-sh-w,Swoon,29,26,1.235,1.169,-0.065
طغي,T-gh-a,Overstepped,39,39,0.984,0.922,-0.062
شهو,sh-h-w,Desire,13,13,0.795,0.734,-0.061
خسر,kh-s-r,Lost,65,60,0.929,0.868,-0.061
طير,T-y-r,Bird,29,24,0.874,0.815,-0.059
ذهب,dh-h-b,Went,56,56,0.958,0.901,-0.057
هوي,h-w-a,Desire,38,37,0.787,0.731,-0.057
سبق,s-b-q,preceded,37,35,1.045,0.989,-0.056
سوم,s-w-m,Attribute,15,15,0.989,0.934,-0.055
رجع,r-j-3,Returned,104,103,0.834,0.783,-0.051
قرر,q-r-r,settlement,38,37,0.951,0.9,-0.051
يسر,y-s-r,Facilitated,44,40,1.024,0.977,-0.048
يقن,y-q-n,Certainty,28,28,0.928,0.881,-0.047
عجب,3-j-b,Wonder,27,24,0.991,0.946,-0.044
حفظ,h-f-z,Preservation,44,42,0.89,0.85,-0.041
منن,m-n-n,Who,27,25,1.008,0.968,-0.04
صدق,s-d-q,truthful,155,144,1.031,0.991,-0.04
علو,3-l-w,Elevated,70,68,0.943,0.91,-0.033
حسر,h-s-r,Removed,12,12,1.052,1.028,-0.024
مري,m-r-a,,20,19,1.112,1.089,-0.023
رجو,r-j-w,,28,27,0.919,0.898,-0.022
كتب,k-t-b,Cutting off,319,279,0.917,0.896,-0.022
اخر,a-kh-r,Postpone,250,242,0.927,0.905,-0.022
ذوق,dh-w-q,,63,61,0.915,0.894,-0.021
موه,m-w-h,,63,60,0.833,0.812,-0.021
طلع,T-l-3,He produced,19,18,1.01,0.994,-0.016
منع,m-n-3,Prevented,17,17,0.92,0.905,-0.015
حجر,h-j-r,Stone,21,18,0.934,0.919,-0.015
غلظ,gh-l-z,Thick,13,13,0.499,0.485,-0.014
فلح,f-l-h,Prospered,40,40,0.735,0.723,-0.012
طمن,T-m-n,Reassured,13,12,0.6,0.592,-0.008
عرف,3-r-f,known,70,62,0.97,0.963,-0.006
جحد,j-h-d,,12,12,1.019,1.024,0.005
قلل,q-l-l,Few,76,74,0.784,0.79,0.005
سخر,s-kh-r,Herb,42,35,0.819,0.824,0.006
سمع,s-m-3,Hearing,185,163,0.851,0.857,0.006
ثقل,th-q-l,Drought,28,26,1.004,1.01,0.006
سحر,s-h-r,Suhur,63,59,0.771,0.777,0.006
اول,a-w-l,First,170,158,0.868,0.878,0.01
وصف,w-s-f,Attained,14,14,0.57,0.58,0.01
شعر,sh-3-r,Competed,40,40,0.82,0.831,0.012
سرع,s-r-3,Quick,23,23,0.757,0.769,0.012
الو,a-l-w,,37,37,0.298,0.312,0.014
فعل,f-3-l,Action,108,102,0.934,0.949,0.015
طوع,T-w-3,Obeyed,129,118,0.921,0.939,0.017
فصل,f-s-l,Separated,43,42,1.008,1.026,0.018
ركب,r-k-b,Riders,15,15,0.956,0.974,0.018
خرج,kh-r-j,He emerged,182,157,0.893,0.914,0.021
صور,s-w-r,Tested man,19,17,0.638,0.66,0.022
فتي,f-t-a,Youth,21,19,0.922,0.946,0.023
موت,m-w-t,Death,165,143,0.817,0.841,0.024
ودد,w-d-d,,29,28,0.652,0.678,0.026
رجل,r-j-l,Walked,73,66,0.884,0.91,0.026
عشو,3-sh-w,twilight,14,14,0.972,1.0,0.028
عرض,3-r-d,exhibit,79,72,0.98,1.01,0.03
فطر,f-T-r,Cleft,20,19,0.656,0.687,0.031
حلم,h-l-m,Forbearing,21,20,1.124,1.156,0.031
تلو,t-l-w,To follow,63,61,0.802,0.833,0.031
بغت,b-gh-t,Suddenly,13,13,0.873,0.906,0.033
يوم,y-w-m,Day,405,377,0.943,0.977,0.034
كرم,k-r-m,Generous,47,46,1.083,1.118,0.035
قرب,q-r-b,Near,96,91,0.809,0.846,0.037
قسط,q-s-T,Deviate,25,22,0.766,0.805,0.039
جرم,j-r-m,,66,65,0.953,0.994,0.041
حسب,h-s-b,Sufficiency,109,102,0.835,0.882,0.047
عقب,3-q-b,Followed him,80,74,1.063,1.111,0.048
اثم,a-th-m,Sinned,48,42,0.804,0.852,0.048
لقي,l-q-a,Encounter,146,135,0.901,0.951,0.051
رود,r-w-d,I want,148,120,0.732,0.784,0.052
عهد,3-h-d,Covenant,46,36,0.691,0.744,0.052
خشي,kh-sh-a,to fear,48,40,0.652,0.705,0.053
قري,q-r-a,Village,57,54,0.859,0.913,0.054
نصب,n-s-b,Share,32,29,0.921,0.977,0.056
فوق,f-w-q,Above,43,41,0.927,0.984,0.057
وصي,w-s-a,Executor,32,21,1.018,1.076,0.058
ليس,l-y-s,not,89,85,0.835,0.893,0.058
روح,r-w-h,Wind,57,52,0.736,0.797,0.06
جمع,j-m-3,,129,123,0.848,0.909,0.061
حبط,h-b-T,To be swollen,16,16,0.441,0.502,0.061
ذكر,dh-k-r,Mention,292,264,0.843,0.905,0.062
وهب,w-h-b,giving,25,22,0.816,0.877,0.062
طوف,T-w-f,Faction,41,35,0.76,0.822,0.063
عبد,3-b-d,Slave,275,251,0.897,0.96,0.063
خفف,kh-f-f,Light,17,17,0.472,0.535,0.064
شمس,sh-m-s,to shine,33,32,0.618,0.684,0.066
اكل,a-k-l,He made to eat,109,101,0.831,0.898,0.067
حيي,h-a-a,Life,184,161,0.761,0.829,0.068
سوي,s-w-a,Equal,83,80,0.78,0.847,0.068
اثر,a-th-r,preferred,21,21,0.907,0.977,0.07
وضع,w-d-3,Position,26,24,0.961,1.032,0.071
جزي,j-z-a,,118,109,0.751,0.824,0.072
امر,a-m-r,Commander,248,226,0.795,0.87,0.074
ارض,a-r-d,Land,461,440,0.776,0.851,0.075
سرر,s-r-r,Adventive,44,43,0.717,0.794,0.077
صفو,s-f-w,Clear,17,16,0.867,0.946,0.079
دين,d-y-n,Debt,101,87,0.816,0.895,0.079
مسك,m-s-k,Retained,27,24,0.99,1.07,0.08
جند,j-n-d,,29,27,0.978,1.058,0.08
سمو,s-m-w,sky,381,352,0.577,0.658,0.08
حدد,h-d-d,Iron,25,20,0.814,0.895,0.081
خبر,kh-b-r,Expert,52,52,0.872,0.954,0.082
وجد,w-j-d,Finding,107,99,0.859,0.941,0.082
يدي,,,120,110,0.839,0.922,0.083
قتل,q-t-l,killed,170,122,0.571,0.654,0.083
عدل,3-d-l,Just.,28,24,0.51,0.595,0.085
حزب,h-z-b,Party,20,17,0.83,0.915,0.085
غفل,gh-f-l,Uncultivated,35,35,0.7,0.786,0.086
شفع,sh-f-3,He interceded,31,26,0.72,0.806,0.086
شكر,sh-k-r,Thanksgiving,75,69,0.862,0.948,0.087
جوب,j-w-b,,43,41,0.752,0.84,0.088
سرف,s-r-f,Extravagant,23,21,0.872,0.96,0.088
كون,k-w-n,was,1390,1176,0.874,0.964,0.09
وجه,w-j-h,Face,78,71,0.91,1.002,0.092
قعد,q-3-d,Sat,31,26,0.794,0.888,0.094
غرق,gh-r-q,Coming,23,23,0.826,0.92,0.094
سبح,s-b-h,Swam,92,87,0.608,0.704,0.096
نهي,n-h-a,destination,56,54,0.724,0.82,0.096
شطن,sh-T-n,devil,88,78,0.511,0.608,0.097
كثر,k-th-r,Partial,167,162,0.779,0.877,0.098
غفر,gh-f-r,Forgiveness,234,202,0.418,0.518,0.1
قول,q-w-l,said,1722,1383,0.823,0.923,0.1
بشر,b-sh-r,to uncover,123,119,0.803,0.904,0.1
قلب,q-l-b,Turned,168,155,0.772,0.872,0.1
قدر,q-d-r,Considered,132,121,0.789,0.889,0.101
رشد,r-sh-d,Guidance,19,19,0.598,0.701,0.103
وحد,w-h-d,,68,67,0.788,0.891,0.104
غير,gh-y-r,Other,154,146,0.794,0.903,0.108
ضرب,d-r-b,struck,58,54,0.869,0.978,0.109
بعض,b-3-d,Some,158,87,0.798,0.908,0.109
فاد,f-a-d,Heart,16,15,0.898,1.008,0.109
سبع,s-b-3,seven,28,24,0.855,0.97,0.115
اتي,a-t-a,Came,549,486,0.804,0.92,0.117
عفو,3-f-w,Forgave,35,31,0.659,0.776,0.117
سال,s-a-l,Query,129,118,0.981,1.099,0.117
جيا,j-y-a,,278,262,0.801,0.918,0.118
صلو,s-l-w,Behaved haughtily,99,90,0.551,0.671,0.12
مول,m-w-l,wealth,86,80,0.77,0.891,0.121
كبر,k-b-r,Dose,161,153,0.805,0.927,0.122
غوي,gh-w-a,To be led astray.,22,18,0.829,0.953,0.123
شدد,sh-d-d,Severe,102,99,0.758,0.882,0.125
حلل,h-l-l,Laxness,51,43,0.635,0.761,0.125
ولد,w-l-d,,102,80,0.773,0.9,0.126
بغي,b-gh-a,oppression,96,90,0.816,0.942,0.127
حزن,h-z-n,to grieve,42,42,0.623,0.751,0.128
دبب,d-b-b,creature,18,18,0.5,0.628,0.128
شكك,sh-k-k,Doubt,15,15,0.817,0.947,0.129
مرض,m-r-d,Sick,24,23,0.7,0.829,0.13
غلل,gh-l-l,Shackle,16,13,0.683,0.814,0.131
كنن,k-n-n,,12,12,0.767,0.899,0.131
سجن,s-j-n,Prison,12,12,0.64,0.772,0.132
عذب,3-dh-b,Punishment,373,336,0.603,0.736,0.133
ايي,a-a-a,,382,353,0.773,0.906,0.133
