k,inertia,silhouette,davies_bouldin,calinski_harabasz
2,512.4716796875,0.3637911081314087,1.984025383985466,763.6308693854995
3,469.860595703125,0.20948274433612823,2.363824958971244,699.006490086858
4,451.609375,0.14287064969539642,3.124550636415071,568.7112939614195
5,443.44708251953125,0.11647061258554459,3.67365280777861,462.98777170330743
6,437.4562072753906,0.1138288602232933,3.7563022965630335,392.4668071626929
7,432.22833251953125,0.10522117465734482,3.7753172370844736,343.51467069132957
8,428.583740234375,0.07941687107086182,3.8352613471478887,304.4633036644359
9,425.6687316894531,0.07675617188215256,3.992214569113848,273.5173834726125
10,422.46002197265625,0.08220523595809937,3.9721162900373024,250.18807421621682
11,420.02197265625,0.0812838226556778,3.955886968277615,230.0530669698326
12,417.8783264160156,0.06173001229763031,4.361164152907091,213.08077193112828
13,416.4832763671875,0.07721328735351562,4.018361021850856,197.68402413303698
14,414.1027526855469,0.056770794093608856,4.327250994172117,186.24821681139076
15,412.6798095703125,0.05092643201351166,4.544176090725815,175.04547589535892
16,410.63751220703125,0.05610690265893936,4.262411256363406,166.2241181722882
17,408.9589538574219,0.05396493896842003,4.22639051283842,158.04506554885728
18,407.9670715332031,0.04139600694179535,4.511937701519512,149.97514988911684
19,406.6878662109375,0.05396299809217453,4.206318055561954,143.15236961221726
20,405.534912109375,0.04340134561061859,4.524747472352341,136.9118914488909
21,403.5673828125,0.046163883060216904,4.378547077391328,132.19438780647633
22,401.905029296875,0.04732609912753105,4.249767449277389,127.62377892634582
23,402.507080078125,0.04388922452926636,4.3637929345911,121.19840140609499
24,400.5454406738281,0.04152379184961319,4.4082912898917614,117.80057513492386
25,398.80322265625,0.04360591247677803,4.382750097219097,114.49778774003019
26,397.78045654296875,0.04627066105604172,4.39528642469941,110.82135194753282
27,396.4966735839844,0.046872854232788086,4.258060212617422,107.6600143815601
28,396.4425048828125,0.04493601620197296,4.264621925888894,103.70155266601923
29,394.5782775878906,0.03623723238706589,4.218757536720211,101.50155111716948
30,394.6490783691406,0.0436868891119957,4.28888701929334,97.92971928159048
31,393.610595703125,0.037211887538433075,4.180058811096461,95.44541142607837
32,392.67791748046875,0.04183237627148628,4.36992175131957,93.04642806711229
33,391.7857666015625,0.04241183400154114,4.214507637854569,90.77091359089057
34,390.9609375,0.04355392977595329,4.1686714482047975,88.58827831744745
35,389.6492004394531,0.04001505672931671,4.119827427423695,86.87227222314127
36,389.3548583984375,0.04174124076962471,4.083583728677257,84.57433181928877
37,388.3160705566406,0.0391206257045269,4.094329637842123,82.89228416801008
38,387.4790954589844,0.04397037625312805,4.199077056657306,81.17490897815064
39,387.40863037109375,0.0407896526157856,4.182875519877936,79.07003496947661
40,386.23779296875,0.04154996573925018,4.169075646548857,77.74532572887355
