id,الجذور,transliterated_root,r3,r2,r1
1,ر-ح-م,r-ḥ-m,م,ح,ر
2,م-ل-ك,m-l-k,ك,ل,م
3,ق-د-س,q-d-s,س,د,ق
4,س-ل-م,s-l-m,م,ل,س
5,ء-م-ن,a-m-n,ن,م,ء
6,ه-م-ن,h-m-n,ن,م,ه
7,ع-ز-ز,3-z-z,ز,ز,ع
8,ج-ب-ر,j-b-r,ر,ب,ج
9,ك-ب-ر,k-b-r,ر,ب,ك
10,خ-ل-ق,kh-l-q,ق,ل,خ
11,ب-ر-ش,b-r-5,ش,ر,ب
12,ص-و-ر,ṣ-w-r,ر,و,ص
13,غ-ف-ر,gh-f-r,ر,ف,غ
14,ق-ه-ر,q-h-r,ر,ه,ق
15,و-ه-ب,w-h-b,ب,ه,و
16,ر-ز-ق,r-z-q,ق,ز,ر
17,ف-ت-ح,f-t-ḥ,ح,ت,ف
18,ع-ل-م,3-l-m,م,ل,ع
19,ق-ب-د,q-b-d,د,ب,ق
