derivative_id,corpus_id,item_id
1,1,1
2,1,1
8,1,2
15,1,3
20,1,4
28,1,5
37,1,6
39,1,7
44,1,8
55,1,9
57,1,10
64,1,11
69,1,12
76,1,13
88,1,14
92,1,15
97,1,16
102,1,17
110,1,18
119,1,19
